FID_riv1	FID_reach_	length_int
26	120863	231.49900000000
26	120864	212.38800000000
26	120865	37.38290000000
26	121639	203.46100000000
26	121640	220.26700000000
26	121641	137.95200000000
26	122415	104.04700000000
26	122416	231.49900000000
26	122417	217.10900000000
26	122418	161.11700000000
26	122462	42.53870000000
26	122463	200.00000000000
26	122464	276.04600000000
26	122465	225.34900000000
26	122466	200.00000000000
26	122467	200.00000000000
26	122468	200.00000000000
26	122469	230.50300000000
26	122470	211.49700000000
26	122471	157.37900000000
26	123192	84.77310000000
26	123193	210.50000000000
26	123194	234.64100000000
26	123195	207.35900000000
26	123196	200.00000000000
26	123197	200.00000000000
26	123198	235.84900000000
26	123199	200.00000000000
26	123200	200.00000000000
26	123201	200.00000000000
26	123202	200.00000000000
26	123203	200.00000000000
26	123204	200.00000000000
